(epoch: 90, iters: 500, time: 5.427, data: 4.842) D_A: 0.200 G_A: 0.497 cycle_A: 0.166 idt_A: 0.078 D_B: 0.227 G_B: 0.627 cycle_B: 0.176 idt_B: 0.065 
(epoch: 91, iters: 500, time: 5.318, data: 6.489) D_A: 0.183 G_A: 0.246 cycle_A: 0.176 idt_A: 0.061 D_B: 0.393 G_B: 1.009 cycle_B: 0.143 idt_B: 0.081 
(epoch: 92, iters: 500, time: 5.338, data: 25.868) D_A: 0.152 G_A: 0.236 cycle_A: 0.238 idt_A: 0.063 D_B: 0.123 G_B: 0.313 cycle_B: 0.158 idt_B: 0.092 
(epoch: 93, iters: 500, time: 5.852, data: 24.078) D_A: 0.198 G_A: 0.158 cycle_A: 0.191 idt_A: 0.091 D_B: 0.038 G_B: 0.165 cycle_B: 0.203 idt_B: 0.078 
(epoch: 94, iters: 500, time: 5.489, data: 20.156) D_A: 0.314 G_A: 0.116 cycle_A: 0.154 idt_A: 0.054 D_B: 0.103 G_B: 0.130 cycle_B: 0.134 idt_B: 0.066 
(epoch: 95, iters: 500, time: 5.186, data: 3.097) D_A: 0.298 G_A: 0.454 cycle_A: 0.155 idt_A: 0.057 D_B: 0.160 G_B: 0.241 cycle_B: 0.132 idt_B: 0.062 
(epoch: 96, iters: 500, time: 6.916, data: 3.173) D_A: 0.129 G_A: 0.208 cycle_A: 0.154 idt_A: 0.067 D_B: 0.246 G_B: 0.151 cycle_B: 0.139 idt_B: 0.070 
(epoch: 97, iters: 500, time: 5.458, data: 26.161) D_A: 0.203 G_A: 0.054 cycle_A: 0.125 idt_A: 0.045 D_B: 0.221 G_B: 0.180 cycle_B: 0.118 idt_B: 0.054 
(epoch: 98, iters: 500, time: 5.376, data: 3.673) D_A: 0.205 G_A: 0.220 cycle_A: 0.130 idt_A: 0.061 D_B: 0.257 G_B: 0.276 cycle_B: 0.145 idt_B: 0.051 
(epoch: 99, iters: 500, time: 5.968, data: 26.420) D_A: 0.378 G_A: 0.042 cycle_A: 0.160 idt_A: 0.103 D_B: 0.208 G_B: 0.473 cycle_B: 0.230 idt_B: 0.066 
(epoch: 100, iters: 500, time: 5.518, data: 10.875) D_A: 0.254 G_A: 0.286 cycle_A: 0.140 idt_A: 0.070 D_B: 0.329 G_B: 1.082 cycle_B: 0.157 idt_B: 0.059 
(epoch: 101, iters: 500, time: 5.393, data: 8.502) D_A: 0.234 G_A: 0.222 cycle_A: 0.167 idt_A: 0.095 D_B: 0.070 G_B: 0.454 cycle_B: 0.194 idt_B: 0.067 
(epoch: 102, iters: 500, time: 6.222, data: 16.754) D_A: 0.258 G_A: 0.216 cycle_A: 0.135 idt_A: 0.082 D_B: 0.040 G_B: 0.074 cycle_B: 0.157 idt_B: 0.058 
(epoch: 103, iters: 500, time: 5.409, data: 25.714) D_A: 0.074 G_A: 0.341 cycle_A: 0.138 idt_A: 0.075 D_B: 0.193 G_B: 0.432 cycle_B: 0.182 idt_B: 0.048 
(epoch: 104, iters: 500, time: 5.432, data: 2.664) D_A: 0.187 G_A: 0.257 cycle_A: 0.167 idt_A: 0.063 D_B: 0.182 G_B: 0.903 cycle_B: 0.153 idt_B: 0.066 
(epoch: 105, iters: 500, time: 5.405, data: 26.133) D_A: 0.271 G_A: 0.602 cycle_A: 0.149 idt_A: 0.087 D_B: 0.186 G_B: 0.463 cycle_B: 0.153 idt_B: 0.060 
(epoch: 106, iters: 500, time: 5.358, data: 23.844) D_A: 0.272 G_A: 0.575 cycle_A: 0.174 idt_A: 0.075 D_B: 0.193 G_B: 0.724 cycle_B: 0.155 idt_B: 0.068 
(epoch: 107, iters: 500, time: 5.393, data: 14.815) D_A: 0.254 G_A: 0.167 cycle_A: 0.182 idt_A: 0.051 D_B: 0.374 G_B: 1.295 cycle_B: 0.113 idt_B: 0.069 
(epoch: 108, iters: 500, time: 5.204, data: 2.653) D_A: 0.176 G_A: 0.695 cycle_A: 0.160 idt_A: 0.056 D_B: 0.127 G_B: 0.265 cycle_B: 0.139 idt_B: 0.069 
(epoch: 109, iters: 500, time: 5.577, data: 24.065) D_A: 0.151 G_A: 0.516 cycle_A: 0.139 idt_A: 0.044 D_B: 0.133 G_B: 0.554 cycle_B: 0.122 idt_B: 0.053 
(epoch: 110, iters: 500, time: 5.727, data: 7.331) D_A: 0.250 G_A: 0.214 cycle_A: 0.124 idt_A: 0.055 D_B: 0.354 G_B: 0.221 cycle_B: 0.131 idt_B: 0.049 
(epoch: 111, iters: 500, time: 5.498, data: 27.843) D_A: 0.088 G_A: 0.135 cycle_A: 0.133 idt_A: 0.046 D_B: 0.347 G_B: 0.064 cycle_B: 0.123 idt_B: 0.058 
(epoch: 112, iters: 500, time: 5.347, data: 14.583) D_A: 0.259 G_A: 0.290 cycle_A: 0.130 idt_A: 0.043 D_B: 0.138 G_B: 0.304 cycle_B: 0.120 idt_B: 0.049 
(epoch: 113, iters: 500, time: 5.307, data: 7.012) D_A: 0.254 G_A: 0.252 cycle_A: 0.148 idt_A: 0.069 D_B: 0.247 G_B: 0.090 cycle_B: 0.120 idt_B: 0.062 
